mainKey,name,metaScore,releaseDate,maturityRating,publisher,genre,userScore,platform,imgUrl
000022309afe0904e8b799710aff5957,Harry Potter and the Chamber of Secrets,76,14-Nov-02,E,EA Games,"Genre(s): Action Adventure, Fantasy",7.9,GBA,http://static.metacritic.com/images/products/games/2/1ab25796bd98ef2b3d4c05c0109438d4-53.jpg
000e62a2247476a6bd1672f3132f6a9a,Shadow Puppeteer,57,28-Jan-16,T,Snow Cannon Games,,6.2,WIIU,http://static.metacritic.com/images/products/games/0/89fbae050ea3ec99eb0170ffcfee2164-53.jpg
0012224d0e4bace5d69dd7d970e1937c,Teenage Mutant Ninja Turtles (2003),55,25-Nov-03,E,Konami,"Genre(s): Action, Beat-'Em-Up, 2D, Beat-'Em-Up",7.6,PC,http://static.metacritic.com/images/products/games/2/d0beb32cef9a93567a18246bf27d5d7a-53.jpg
00161f6c3025d4a5017ea0a2a0114167,Men of War,80,16-Mar-09,M,Aspyr,"Genre(s): Strategy, Real-Time, Historic, General, Historic, Tactics",8.1,PC,http://static.metacritic.com/images/products/games/8/2f02cc199f83d4fe830ed309e47cfe14-53.jpg
001860eb30ae0a128c4d0e59f62b3202,Legend of Kay Anniversary,64,27-Jul-15,E10+,Nordic Games Publishing,"Genre(s): Action Adventure, General",7.5,PC,http://static.metacritic.com/images/products/games/0/ae102632ffa71611eb26b1c217b50faf-53.jpg
001b5b1e8e5a522a67ca2e15143d3f2f,Sega SuperStars,72,3-Nov-04,T,Sega,"Genre(s): Miscellaneous, Party",7.5,PS2,http://static.metacritic.com/images/products/games/2/e56033fc3562d3300ac02b4f92ca572b-53.jpg
00243b7ee1bbb038cff5738b894e43fe,LEGO The Hobbit,69,8-Apr-14,E10+,Warner Bros. Interactive Entertainment,"Genre(s): Action Adventure, General, Fantasy, Historic",6.9,XONE,http://static.metacritic.com/images/products/games/1/e692b779fb927ece5d6a657320fb832d-53.jpg
00289c2458e496028110ed5a018cc96f,The Chronicles of Riddick: Assault on Dark Athena,82,7-Apr-09,M,"Atari, Tigon, Atari SA","Genre(s): Action, Shooter, First-Person, Sci-Fi, Sci-Fi, Shooter, Arcade",8.1,X360,http://static.metacritic.com/images/products/games/9/146f8dc5e4e2c780c1e06378953a86c9-53.jpg
002eb222bf4252b9eb2e153c467ed62b,Theatre of War 3: Korea,49,24-Mar-11,,Battlefront.com,,5.5,PC,http://static.metacritic.com/images/products/games/6/2d150cbd0bf934465e1f5e6053fda676-53.jpg
0030635d514c331131fa879d3d0efff0,Dead or Alive 5 Plus,80,19-Mar-13,M,"Tecmo Koei America Corp., Tecmo Koei Games","Genre(s): Action, Fighting, 3D, 3D, Fighting",8,VITA,http://static.metacritic.com/images/products/games/4/d8220ab104ec45ba9aa58e50f6fd2f42-53.jpg
003996823fe8fae44001c92ee2dab8af,Dark Souls II: Scholar of the First Sin,87,7-Apr-15,T,Bandai Namco Games,"Genre(s): Role-Playing, Action RPG",8,PS4,http://static.metacritic.com/images/products/games/0/2d63bdf59528ea52e257f05547b2885e-53.jpg
003de8a7417339d2a007d230f937afc4,Resident Evil Code: Veronica X HD,67,27-Sep-11,M,Capcom,"Genre(s): Action Adventure, Horror, Horror, Survival",8.1,X360,http://static.metacritic.com/images/products/games/9/26705a255d6977e21927619d97b16f9f-53.jpg
004144e87209ffb8f908bfb1952905ae,Uncharted 4: A Thief's End,93,10-May-16,T,SCEA,"Genre(s): Action Adventure, General, Modern, Linear",8.3,PS4,http://static.metacritic.com/images/products/games/2/bccdebd6ae21b1a35353b6d9f27af1a5-53.jpg
00456640c56aedbb319efc25830d2c35,Warriors Orochi,62,25-Mar-08,T,Koei,"Genre(s): Action, Beat-'Em-Up, 3D, Beat-'Em-Up",6.6,PSP,http://static.metacritic.com/images/products/games/9/6e881201c08d9f29dae1ab14e2eadb37-53.jpg
00503e3c2bef72e9e9b3f913fbb34f52,FIFA 17,85,27-Sep-16,E,"Electronic Arts, EA Sports","Genre(s): Sports, Soccer, Sim, Team",4.9,PS4,http://static.metacritic.com/images/products/games/8/50e28f8b8a8021cf84d568dc1125d622-53.jpg
00532f839cb2db8d072d0645280cec77,ChromaGun,74,22-Aug-17,E10+,"Pixel Maniacs, Benjamin Lochmann New Media GmbH","Genre(s): Action, First-Person, Shooter, Arcade",5.6,PS4,http://static.metacritic.com/images/products/games/5/afdca36e87e5f4ea8417e6b29caca266-53.jpg
00607af3671593aee7252c257e593247,IL-2 Sturmovik: Forgotten Battles,86,2-Mar-03,T,Ubisoft,"Genre(s): Simulation, Flight, WWII, WWII, Combat",8.6,PC,http://static.metacritic.com/images/products/games/9/2add28e77291c467fa3a4485f680069c-53.jpg
0068ca905dcff90e1fe1ac615298fec8,Crimson Skies,83,17-Sep-00,T,Microsoft Game Studios,"Genre(s): Simulation, Flight, Sci-Fi, Futuristic Jet, Futuristic Jet, Combat",8.4,PC,http://static.metacritic.com/images/products/games/4/3abd1ab7c9e188d5a96d65dd7dcd82b0-53.jpg
